   Step           Lx          Atoms         Temp          PotEng           Lx             Ly             Lz           Press           Pxx            Pyy            Pzz      
       520   9.0760252             64   527.5131      -655.37323      9.0760252      9.0760252      9.0760252      162432.5       172853.56      151547.21      162896.73    
       530   9.0760266             64   476.447       -654.96728      9.0760266      9.0760266      9.0760266      179201.48      183421.84      168874.63      185307.99    
       540   9.076028              64   452.81694     -654.78497      9.076028       9.076028       9.076028       176059.13      177667.01      172352.55      178157.83    
       550   9.0760294             64   519.73316     -655.35505      9.0760294      9.0760294      9.0760294      169381.7       171090.59      173400.76      163653.76    
       560   9.0760309             64   513.32186     -655.29283      9.0760309      9.0760309      9.0760309      184384.26      179697.07      192136.51      181319.2     
       570   9.0760325             64   426.08149     -654.58076      9.0760325      9.0760325      9.0760325      184774.33      180709.99      193176.44      180436.56    
       580   9.076034              64   427.10905     -654.60362      9.076034       9.076034       9.076034       175094.6       174215.55      184078.95      166989.32    
       590   9.0760357             64   412.7267      -654.4912       9.0760357      9.0760357      9.0760357      164746.81      164282.91      170085.64      159871.87    
       600   9.0760373             64   502.56113     -655.22939      9.0760373      9.0760373      9.0760373      161287.38      159386.93      163118.88      161356.34    
       610   9.076039              64   501.65627     -655.20361      9.076039       9.076039       9.076039       164729.13      165669.07      164179.01      164339.3     
       620   9.0760408             64   425.82729     -654.56115      9.0760408      9.0760408      9.0760408      162891.9       163590.09      163304.79      161780.81    
       630   9.0760426             64   474.24158     -654.93986      9.0760426      9.0760426      9.0760426      153643.18      155633.85      146969.09      158326.59    
       640   9.0760444             64   409.16652     -654.39964      9.0760444      9.0760444      9.0760444      144750.12      148739.61      134600.8       150909.94    
       650   9.0760463             64   439.46524     -654.64282      9.0760463      9.0760463      9.0760463      134144.8       135738.48      135409.52      131286.38    
       660   9.0760482             64   438.37476     -654.63685      9.0760482      9.0760482      9.0760482      134674.07      136041.81      141810.76      126169.65    
       670   9.0760501             64   433.55111     -654.61653      9.0760501      9.0760501      9.0760501      139414.38      143480.54      144248.92      130513.69    
       680   9.0760521             64   474.09761     -654.94518      9.0760521      9.0760521      9.0760521      151688.26      154218.74      155608.91      145237.15    
       690   9.0760541             64   472.67371     -654.92384      9.0760541      9.0760541      9.0760541      166116.64      166271.97      165041.2       167036.74    
       700   9.0760561             64   523.5618      -655.35809      9.0760561      9.0760561      9.0760561      161238.37      161626.48      158911.91      163176.7     
       710   9.0760582             64   465.47783     -654.8697       9.0760582      9.0760582      9.0760582      157756.79      158353.22      155181.03      159736.11    
       720   9.0760603             64   497.46039     -655.11579      9.0760603      9.0760603      9.0760603      156196.55      160301.92      150847.73      157439.99    
       730   9.0760625             64   467.12078     -654.82854      9.0760625      9.0760625      9.0760625      169682.84      178044.33      167717.35      163286.82    
       740   9.0760647             64   490.37719     -654.99951      9.0760647      9.0760647      9.0760647      177634.88      183124.99      176011.54      173768.11    
       750   9.076067              64   475.30433     -654.89616      9.076067       9.076067       9.076067       189133.77      187232.89      184099.73      196068.69    
       760   9.0760693             64   466.79995     -654.83307      9.0760693      9.0760693      9.0760693      186457.9       179994.02      187699.18      191680.49    
       770   9.0760716             64   472.50214     -654.87046      9.0760716      9.0760716      9.0760716      181429.74      174987.89      185426.05      183875.27    
       780   9.076074              64   448.87006     -654.67844      9.076074       9.076074       9.076074       186047.69      178348.75      187828.19      191966.12    
       790   9.0760765             64   495.61492     -655.04635      9.0760765      9.0760765      9.0760765      169326.87      165779.58      168955.3       173245.72    
       800   9.076079              64   498.57682     -655.08191      9.076079       9.076079       9.076079       153645.87      156119.72      152713.64      152104.27    
       810   9.0760815             64   467.50658     -654.81367      9.0760815      9.0760815      9.0760815      160984.79      163302.66      158100.38      161551.32    
       820   9.076084              64   531.17132     -655.35435      9.076084       9.076084       9.076084       155814.78      160714.04      153293.85      153436.45    
       830   9.0760866             64   458.44567     -654.72821      9.0760866      9.0760866      9.0760866      151560.8       154579.12      154623.02      145480.27    
       840   9.0760893             64   463.12154     -654.74732      9.0760893      9.0760893      9.0760893      129995.49      132957.76      133871.85      123156.86    
       850   9.076092              64   458.67868     -654.70572      9.076092       9.076092       9.076092       116451.71      119667.81      113926.6       115760.71    
       860   9.0760947             64   459.73972     -654.73027      9.0760947      9.0760947      9.0760947      137399.32      140770.1       128277.75      143150.12    
       870   9.0760974             64   442.9297      -654.58642      9.0760974      9.0760974      9.0760974      167703.16      169429.14      162019.63      171660.7     
       880   9.0761002             64   455.59242     -654.68989      9.0761002      9.0761002      9.0761002      164053.95      167194.09      161349.94      163617.81    
       890   9.076103              64   454.26062     -654.68225      9.076103       9.076103       9.076103       149691.19      154150.41      149436.77      145486.39    
       900   9.0761059             64   448.75775     -654.69132      9.0761059      9.0761059      9.0761059      142525.49      142466.54      148839.19      136270.73    
       910   9.0761088             64   426.11773     -654.50093      9.0761088      9.0761088      9.0761088      155157.06      157501.69      159305.42      148664.06    
       920   9.0761117             64   408.73875     -654.35401      9.0761117      9.0761117      9.0761117      167158.45      174924.59      167798.86      158751.91    
       930   9.0761147             64   462.55158     -654.78696      9.0761147      9.0761147      9.0761147      152662.71      160761.28      151815.3       145411.54    
       940   9.0761177             64   429.68008     -654.52557      9.0761177      9.0761177      9.0761177      141032.79      145592.99      140907.64      136597.74    
       950   9.0761208             64   424.02186     -654.49588      9.0761208      9.0761208      9.0761208      138402.94      141694.73      137946.08      135568       
       960   9.0761238             64   392.78649     -654.21673      9.0761238      9.0761238      9.0761238      133696.02      137746.57      126625.49      136715.99    
       970   9.076127              64   405.75632     -654.33953      9.076127       9.076127       9.076127       138681.62      141430.42      128589.34      146025.1     
       980   9.0761301             64   443.31285     -654.68395      9.0761301      9.0761301      9.0761301      150180.35      154411.08      143717.93      152412.05    
       990   9.0761333             64   467.77474     -654.87547      9.0761333      9.0761333      9.0761333      155903.78      160151.2       147362.61      160197.52    
      1000   9.0761365             64   442.62485     -654.66045      9.0761365      9.0761365      9.0761365      162270.5       160076.48      154753.3       171981.72    
      1010   9.0761398             64   482.27437     -654.98983      9.0761398      9.0761398      9.0761398      168069.56      158757.95      165085.58      180365.15    
      1020   9.0761431             64   451.08803     -654.76007      9.0761431      9.0761431      9.0761431      181275.2       169846.83      184175.56      189803.22    
      1030   9.0761465             64   466.91598     -654.88278      9.0761465      9.0761465      9.0761465      184153.59      175313.81      186221.26      190925.7     
      1040   9.0761499             64   519.32215     -655.34206      9.0761499      9.0761499      9.0761499      181534.09      175611.18      180455.79      188535.31    
      1050   9.0761534             64   459.91745     -654.85121      9.0761534      9.0761534      9.0761534      182602.79      177402.4       181650.99      188754.99    
      1060   9.0761569             64   423.99338     -654.5281       9.0761569      9.0761569      9.0761569      165243.69      161375.34      162320.45      172035.26    
      1070   9.0761604             64   456.96997     -654.7966       9.0761604      9.0761604      9.0761604      141366.78      139470.86      137189.57      147439.92    
      1080   9.076164              64   419.24426     -654.49504      9.076164       9.076164       9.076164       143220.53      145662.59      138149.39      145849.6     
      1090   9.0761676             64   395.86296     -654.32767      9.0761676      9.0761676      9.0761676      146289.24      148796.06      142018.66      148052.99    
      1100   9.0761712             64   413.16163     -654.45197      9.0761712      9.0761712      9.0761712      136766.07      136624.32      136174.28      137499.6     
      1110   9.0761749             64   414.1875      -654.46853      9.0761749      9.0761749      9.0761749      125434.36      125891.03      125988.24      124423.8     
      1120   9.0761786             64   428.62187     -654.57547      9.0761786      9.0761786      9.0761786      116575.43      119605.57      111839.23      118281.49    
      1130   9.0761824             64   432.2741      -654.58258      9.0761824      9.0761824      9.0761824      130366.14      133543.92      125267.43      132287.05    
      1140   9.0761862             64   413.28766     -654.41009      9.0761862      9.0761862      9.0761862      149637.14      151034         149080.23      148797.18    
      1150   9.07619               64   417.46871     -654.45158      9.07619        9.07619        9.07619        140371.66      142975.23      139363.71      138776.03    
      1160   9.0761938             64   434.16158     -654.60237      9.0761938      9.0761938      9.0761938      122995.91      127329.75      118970.19      122687.79    
