   Step           Lx          Atoms         Temp          PotEng           Lx             Ly             Lz           Press           Pxx            Pyy            Pzz      
     10100   8.4845116             64   430.96074     -420.95868      8.4845116      8.4845116      8.4845116      22074.126      23038.35       21900.301      21283.727    
     10200   8.4845323             64   283.66903     -420.53642      8.4845323      8.4845323      8.4845323      22353.412      23686.099      24065.052      19309.086    
     10300   8.4845535             64   309.50531     -421.0579       8.4845535      8.4845535      8.4845535      19053.297      20919.363      16473.904      19766.625    
     10400   8.484575              64   262.37939     -420.78051      8.484575       8.484575       8.484575       20754.054      23942.127      19218.504      19101.532    
     10500   8.484597              64   279.7537      -420.82269      8.484597       8.484597       8.484597       20601.359      20740.913      19366.55       21696.615    
     10600   8.4846193             64   359.78167     -420.99607      8.4846193      8.4846193      8.4846193      20721.412      19644.923      21490.266      21029.048    
     10700   8.484642              64   287.26748     -420.09571      8.484642       8.484642       8.484642       25063.741      26673.376      24012.809      24505.039    
     10800   8.4846651             64   303.93787     -420.69949      8.4846651      8.4846651      8.4846651      21525.431      25739.778      16503.177      22333.338    
     10900   8.4846887             64   258.76135     -420.83311      8.4846887      8.4846887      8.4846887      19888.819      23571.21       16901.679      19193.569    
     11000   8.4847126             64   310.37615     -421.19095      8.4847126      8.4847126      8.4847126      17869.255      20341.468      14594.903      18671.396    
     11100   8.4847369             64   313.10837     -420.92786      8.4847369      8.4847369      8.4847369      19374.777      24317.739      20392.56       13414.034    
     11200   8.4847616             64   336.7015      -420.76381      8.4847616      8.4847616      8.4847616      20971.715      23813.396      19313.818      19787.93     
     11300   8.4847867             64   331.96854     -420.61559      8.4847867      8.4847867      8.4847867      21930.084      24098.238      22536.504      19155.509    
     11400   8.4848122             64   278.09915     -420.77073      8.4848122      8.4848122      8.4848122      19800.568      19664.263      18701.614      21035.829    
     11500   8.4848382             64   289.15448     -421.21443      8.4848382      8.4848382      8.4848382      17097.262      19004.264      17326.177      14961.345    
     11600   8.4848644             64   278.38794     -421.02015      8.4848644      8.4848644      8.4848644      18143.955      19365.87       18747.527      16318.468    
     11700   8.484891              64   353.7962      -421.14713      8.484891       8.484891       8.484891       18910.78       18585.856      17499.171      20647.314    
     11800   8.484918              64   323.99694     -420.66133      8.484918       8.484918       8.484918       21706.548      22355.652      21359.669      21404.322    
     11900   8.4849455             64   303.9938      -420.63756      8.4849455      8.4849455      8.4849455      21036.842      23573.18       19862.525      19674.821    
     12000   8.4849733             64   303.63142     -420.79956      8.4849733      8.4849733      8.4849733      20444.822      21655.162      20661.89       19017.416    
     12100   8.4850015             64   264.60554     -420.59898      8.4850015      8.4850015      8.4850015      21378.534      23812.892      19719.871      20602.838    
     12200   8.4850301             64   297.27951     -420.9374       8.4850301      8.4850301      8.4850301      19464.446      17157.406      18704.582      22531.35     
     12300   8.485059              64   291.46336     -420.92517      8.485059       8.485059       8.485059       19061.99       19725.997      19680.584      17779.389    
     12400   8.4850883             64   295.72609     -420.90105      8.4850883      8.4850883      8.4850883      19076.223      18748.932      18415.653      20064.084    
     12500   8.485118              64   324.1062      -420.93407      8.485118       8.485118       8.485118       19674.205      23240.078      15681.951      20100.585    
     12600   8.4851481             64   346.33287     -420.93655      8.4851481      8.4851481      8.4851481      19806.209      19711.916      18577.32       21129.39     
     12700   8.4851786             64   323.21647     -420.80507      8.4851786      8.4851786      8.4851786      19935.241      22335.245      15085.612      22384.865    
     12800   8.4852094             64   297.97514     -421.08063      8.4852094      8.4852094      8.4852094      17767.531      22529.686      18840.008      11932.899    
     12900   8.4852406             64   274.48365     -421.1604       8.4852406      8.4852406      8.4852406      16710.42       19192.32       14757.711      16181.228    
     13000   8.4852722             64   299.0986      -421.1502       8.4852722      8.4852722      8.4852722      17228.926      18758.437      13293.113      19635.228    
     13100   8.4853041             64   339.23744     -420.8245       8.4853041      8.4853041      8.4853041      19991.577      25273.279      15151.253      19550.199    
