   Step           Lx          Atoms         Temp          PotEng           Lx             Ly             Lz           Press           Pxx            Pyy            Pzz      
      4600   9.2240661             64   214.20121     -471.17482      9.2240661      9.2240661      9.2240661      4640.6979      5427.9667      4666.1734      3827.9535    
      4700   9.223675              64   219.87271     -471.21122      9.223675       9.223675       9.223675       4673.2291      5568.3357      4642.4612      3808.8903    
      4800   9.2232974             64   205.19995     -471.1473       9.2232974      9.2232974      9.2232974      4779.4359      6138.7876      3938.2506      4261.2694    
      4900   9.2229335             64   204.66174     -471.19315      9.2229335      9.2229335      9.2229335      5516.9864      6612.6775      4123.8084      5814.4733    
      5000   9.2225841             64   199.88723     -471.12967      9.2225841      9.2225841      9.2225841      5677.6364      6300.2838      6239.552       4493.0734    
      5100   9.2222498             64   197.57627     -471.1053       9.2222498      9.2222498      9.2222498      5479.1957      5714.8267      5801.3682      4921.3923    
      5200   9.2219313             64   242.32267     -471.42673      9.2219313      9.2219313      9.2219313      6465.5501      7161.4521      7366.2378      4868.9605    
      5300   9.2216296             64   231.67636     -471.30235      9.2216296      9.2216296      9.2216296      6068.3807      7028.7183      5076.2643      6100.1595    
      5400   9.2213453             64   212.64867     -471.15639      9.2213453      9.2213453      9.2213453      6312.5528      5515.1621      7648.1599      5774.3366    
      5500   9.2210789             64   206.56932     -471.13592      9.2210789      9.2210789      9.2210789      6635.3975      5914.4308      7368.8834      6622.8783    
      5600   9.2208309             64   192.13515     -470.94733      9.2208309      9.2208309      9.2208309      7023.6981      6938.3298      7721.1617      6411.6029    
      5700   9.2206019             64   186.6872      -470.85672      9.2206019      9.2206019      9.2206019      8040.6711      6686.9012      10940.811      6494.3013    
      5800   9.2203929             64   227.71177     -471.12591      9.2203929      9.2203929      9.2203929      7569.3699      8080.2298      6329.2285      8298.6514    
      5900   9.2202046             64   211.04701     -471.02071      9.2202046      9.2202046      9.2202046      7513.978       9621.6955      6302.3839      6617.8547    
      6000   9.2200371             64   215.60985     -471.15787      9.2200371      9.2200371      9.2200371      7308.6033      8185.8793      5267.9587      8471.972     
      6100   9.2198904             64   221.69475     -471.14105      9.2198904      9.2198904      9.2198904      7689.347       9179.8968      5525.5814      8362.5627    
      6200   9.219765              64   219.09157     -471.08426      9.219765       9.219765       9.219765       8636.9832      11931.632      6668.1543      7311.1634    
      6300   9.2196613             64   189.15338     -470.82218      9.2196613      9.2196613      9.2196613      9217.74        11486.051      7750.1944      8416.9744    
      6400   9.2195793             64   188.86227     -470.78295      9.2195793      9.2195793      9.2195793      8918.9732      10794.295      4674.0499      11288.574    
      6500   9.2195196             64   191.4882      -470.8374       9.2195196      9.2195196      9.2195196      8864.1576      10194.423      7449.4409      8948.6092    
      6600   9.2194823             64   179.98589     -470.7909       9.2194823      9.2194823      9.2194823      8513.4718      10602.379      6297.2672      8640.7687    
      6700   9.2194672             64   187.09804     -470.82466      9.2194672      9.2194672      9.2194672      8879.506       9672.3671      8439.0111      8527.1399    
      6800   9.2194743             64   208.21986     -470.98385      9.2194743      9.2194743      9.2194743      8524.2649      11071.181      7422.2047      7079.4089    
      6900   9.2195038             64   196.41755     -470.85581      9.2195038      9.2195038      9.2195038      7703.9643      9185.7613      7125.8485      6800.2831    
      7000   9.2195553             64   230.92693     -471.10354      9.2195553      9.2195553      9.2195553      8466.135       10201.341      8653.9454      6543.119     
      7100   9.2196291             64   236.26974     -471.11618      9.2196291      9.2196291      9.2196291      8312.2654      7754.7942      8160.9532      9021.0487    
