   Step           Lx          Atoms         Temp          PotEng           Lx             Ly             Lz           Press           Pxx            Pyy            Pzz      
      4800   9.2318322             64   193.98301     -471.16031      9.2318322      9.2318322      9.2318322     -1252.3917      229.28642     -2009.1529     -1977.3087    
      4900   9.2321285             64   214.38358     -471.37188      9.2321285      9.2321285      9.2321285     -1296.6887      1427.94       -2710.6995     -2607.3066    
      5000   9.2324213             64   220.35918     -471.33549      9.2324213      9.2324213      9.2324213     -1463.5245      1181.9053     -2382.1886     -3190.2901    
      5100   9.2327101             64   192.03293     -471.08175      9.2327101      9.2327101      9.2327101     -1683.7635     -884.92102     -633.34613     -3533.0234    
      5200   9.2329945             64   217.5586      -471.28159      9.2329945      9.2329945      9.2329945     -1732.4337     -514.51336     -894.34818     -3788.4397    
      5300   9.2332741             64   213.09161     -471.18549      9.2332741      9.2332741      9.2332741     -2008.7975     -361.08632     -2678.2439     -2987.0622    
      5400   9.2335485             64   193.28505     -471.05835      9.2335485      9.2335485      9.2335485     -2296.7016     -190.69976     -3543.9916     -3155.4134    
      5500   9.2338172             64   206.81913     -471.14422      9.2338172      9.2338172      9.2338172     -2493.984      -2149.7869     -2970.6368     -2361.5282    
      5600   9.2340798             64   190.79223     -470.95954      9.2340798      9.2340798      9.2340798     -1955.6594      924.71196     -2907.6812     -3884.009     
      5700   9.2343362             64   162.83094     -470.74943      9.2343362      9.2343362      9.2343362     -1175.1513     -990.93129     -1678.7646     -855.75788    
      5800   9.2345861             64   223.00059     -471.20479      9.2345861      9.2345861      9.2345861     -2605.3745     -1431.6033     -2997.5372     -3386.9829    
      5900   9.2348292             64   241.20651     -471.34407      9.2348292      9.2348292      9.2348292     -3251.3949     -2926.1022     -3779.3517     -3048.7308    
      6000   9.2350649             64   212.99323     -471.14989      9.2350649      9.2350649      9.2350649     -3751.7862     -2035.8954     -5182.1558     -4037.3074    
      6100   9.2352927             64   204.48046     -471.0952       9.2352927      9.2352927      9.2352927     -3066.5632     -818.01902     -5134.8161     -3246.8544    
      6200   9.2355122             64   199.80446     -471.01451      9.2355122      9.2355122      9.2355122     -2334.7232     -316.40117     -1753.4055     -4934.3631    
      6300   9.2357233             64   196.74991     -470.98528      9.2357233      9.2357233      9.2357233     -3572.5958     -2241.2153     -4066.8116     -4409.7604    
      6400   9.2359254             64   225.53909     -471.22907      9.2359254      9.2359254      9.2359254     -3783.3361     -2129.8658     -3732.7779     -5487.3644    
      6500   9.2361183             64   207.7975      -471.04651      9.2361183      9.2361183      9.2361183     -3002.0078     -1970.5347     -2696.1252     -4339.3634    
      6600   9.2363019             64   167.41511     -470.75345      9.2363019      9.2363019      9.2363019     -3336.225      -4035.3949     -3183.3149     -2789.965     
      6700   9.2364757             64   184.24494     -470.91848      9.2364757      9.2364757      9.2364757     -3815.4894     -2981.5148     -4602.5683     -3862.3851    
      6800   9.2366391             64   206.95607     -471.09462      9.2366391      9.2366391      9.2366391     -3731.8521     -3018.4891     -4201.2458     -3975.8214    
      6900   9.2367922             64   198.49038     -471.02328      9.2367922      9.2367922      9.2367922     -4470.1895     -3936.4471     -5548.7011     -3925.4202    
      7000   9.2369344             64   216.00195     -471.11287      9.2369344      9.2369344      9.2369344     -4067.8728     -3577.6807     -5327.8372     -3298.1004    
      7100   9.2370657             64   227.20832     -471.20464      9.2370657      9.2370657      9.2370657     -4230.695      -2833.3376     -5811.9511     -4046.7962    
      7200   9.237186              64   192.44895     -470.85964      9.237186       9.237186       9.237186      -4532.4069     -1292.5227     -6103.1668     -6201.5311    
      7300   9.2372953             64   211.53369     -470.99845      9.2372953      9.2372953      9.2372953     -4050.7382     -2419.7211     -5678.3235     -4054.17      
      7400   9.2373935             64   215.7542      -471.00049      9.2373935      9.2373935      9.2373935     -3234.8627     -367.94364     -6285.061      -3051.5835    
      7500   9.2374807             64   191.62953     -470.8356       9.2374807      9.2374807      9.2374807     -4440.1031     -2703.8771     -5612.7222     -5003.7101    
      7600   9.2375565             64   204.13455     -470.87623      9.2375565      9.2375565      9.2375565     -4102.0987     -519.10781     -4640.4361     -7146.7521    
      7700   9.2376209             64   214.58471     -471.06121      9.2376209      9.2376209      9.2376209     -4218.761      -2823.4443     -5130.3358     -4702.5029    
      7800   9.2376734             64   216.93381     -471.02059      9.2376734      9.2376734      9.2376734     -5275.2162     -1830.5504     -6876.1959     -7118.9023    
      7900   9.237714              64   197.30466     -470.84451      9.237714       9.237714       9.237714      -4529.108      -3051.748      -5445.0679     -5090.5082    
      8000   9.2377428             64   231.30938     -471.15387      9.2377428      9.2377428      9.2377428     -4619.1633     -4775.495      -3111.5834     -5970.4115    
      8100   9.2377598             64   211.53146     -470.92023      9.2377598      9.2377598      9.2377598     -4961.9136     -4595.6342     -5343.2878     -4946.8188    
      8200   9.2377653             64   222.65697     -471.0295       9.2377653      9.2377653      9.2377653     -4703.9371     -5654.1791     -4327.2778     -4130.3546    
      8300   9.2377593             64   214.11624     -470.96088      9.2377593      9.2377593      9.2377593     -3876.0824     -2912.4529     -5481.279      -3234.5152    
      8400   9.2377415             64   187.31607     -470.75345      9.2377415      9.2377415      9.2377415     -4049.8404     -4014.5946     -4713.5313     -3421.3953    
      8500   9.2377117             64   213.65669     -471.03236      9.2377117      9.2377117      9.2377117     -4408.891      -4058.8502     -6006.7882     -3161.0346    
      8600   9.2376699             64   250.40089     -471.31438      9.2376699      9.2376699      9.2376699     -4229.3616     -4552.061      -5059.6874     -3076.3365    
      8700   9.237616              64   214.69935     -471.02511      9.237616       9.237616       9.237616      -4419.7908     -5118.731      -2465.3708     -5675.2705    
      8800   9.23755               64   221.89199     -471.10984      9.23755        9.23755        9.23755       -4621.1169     -6673.1541     -3319.9179     -3870.2786    
      8900   9.2374719             64   223.90203     -471.07133      9.2374719      9.2374719      9.2374719     -4070.6152     -6187.1857     -2107.3619     -3917.298     
      9000   9.2373823             64   216.28715     -471.04186      9.2373823      9.2373823      9.2373823     -5105.1931     -5903.9374     -5194.1399     -4217.5019    
      9100   9.2372812             64   236.46736     -471.15144      9.2372812      9.2372812      9.2372812     -5167.1904     -6194.2287     -4245.0287     -5062.3138    
      9200   9.237169              64   247.73005     -471.32032      9.237169       9.237169       9.237169      -4823.9973     -7226.0061     -3839.8082     -3406.1775    
      9300   9.2370457             64   202.20879     -470.93687      9.2370457      9.2370457      9.2370457     -4145.7415     -3947.7439     -2166.7354     -6322.7451    
      9400   9.2369113             64   201.48942     -470.89654      9.2369113      9.2369113      9.2369113     -3553.1202     -4956.5185     -865.75491     -4837.0871    
      9500   9.2367664             64   223.37968     -471.03077      9.2367664      9.2367664      9.2367664     -3342.3842     -5500.4961     -884.12846     -3642.5281    
      9600   9.2366117             64   227.08658     -471.00329      9.2366117      9.2366117      9.2366117     -4168.8937     -3645.7995     -3839.3591     -5021.5226    
      9700   9.2364476             64   239.54802     -471.16057      9.2364476      9.2364476      9.2364476     -3770.7065     -4843.2776     -2906.4414     -3562.4006    
      9800   9.2362744             64   224.70178     -471.04356      9.2362744      9.2362744      9.2362744     -3136.7088     -4279.0659     -1256.8797     -3874.1808    
      9900   9.2360923             64   214.73376     -470.87785      9.2360923      9.2360923      9.2360923     -2969.0066     -3468.3443     -3415.8948     -2022.7807    
     10000   9.2359022             64   220.57071     -470.87269      9.2359022      9.2359022      9.2359022     -2470.6878     -3361.3321     -2361.9216     -1688.8098    
     10100   9.2357046             64   244.31344     -471.14413      9.2357046      9.2357046      9.2357046     -3074.5424     -3072.0132     -2850.8339     -3300.7801    
     10200   9.2354995             64   212.43899     -470.91098      9.2354995      9.2354995      9.2354995     -2863.2209     -1974.999      -2516.303      -4098.3607    
     10300   9.235287              64   209.88073     -470.83159      9.235287       9.235287       9.235287      -2636.5422     -1606.5885     -4585.5065     -1717.5317    
     10400   9.2350678             64   232.99703     -470.98156      9.2350678      9.2350678      9.2350678     -2114.7658     -1402.3969     -1621.0323     -3320.8681    
     10500   9.2348423             64   202.17038     -470.75528      9.2348423      9.2348423      9.2348423     -2054.5594     -1130.7991     -2001.9602     -3030.9189    
     10600   9.2346107             64   230.25539     -471.0127       9.2346107      9.2346107      9.2346107     -2087.4743     -3218.0568      321.19369     -3365.5597    
     10700   9.2343735             64   222.76632     -471.00432      9.2343735      9.2343735      9.2343735     -1881.1518     -2573.8647     -588.83916     -2480.7516    
     10800   9.234131              64   210.57336     -470.89193      9.234131       9.234131       9.234131      -2607.7869     -3574.4383     -429.15939     -3819.763     
     10900   9.2338834             64   225.80865     -470.96349      9.2338834      9.2338834      9.2338834     -2415.84       -3137.6447     -1714.9821     -2394.8933    
     11000   9.2336316             64   234.18081     -470.99942      9.2336316      9.2336316      9.2336316     -1207.9932     -2484.2069      922.36156     -2062.1344    
     11100   9.2333763             64   227.69142     -470.93522      9.2333763      9.2333763      9.2333763     -1126.4108     -1519.9586     -1604.345      -254.92869    
     11200   9.2331179             64   240.84809     -471.05432      9.2331179      9.2331179      9.2331179     -803.80193     -4151.1279      2685.7885     -946.06638    
     11300   9.2328567             64   215.92574     -470.90827      9.2328567      9.2328567      9.2328567     -820.40525     -1318.2629     -999.40477     -143.54805    
